# S&P 500 Companies by Market Cap
# Ticker,Name,Price
NVDA,Nvidia,191.27,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Tag_10
AAPL,Apple Inc.,276.43,0,0,1,0,1,1,1,1,1,0
MSFT,Microsoft,404.68,0,0,0,0,0,1,0,0,0,0
AMZN,Amazon,204.62,0,1,0,0,0,0,1,0,0,0
GOOGL,Alphabet Inc. (Class A),311.20,1,1,1,0,1,0,0,0,0,1
GOOG,Alphabet Inc. (Class C),311.62,1,1,1,1,1,1,1,1,1,1
META,Meta Platforms,669.41,0,1,1,1,1,1,1,1,0,0
AVGO,Broadcom,343.35,0,0,0,1,1,0,0,1,0,0
TSLA,Tesla Inc.,426.52,0,0,0,0,0,1,1,0,0,0
BRK.B,Berkshire Hathaway,501.05,0,0,0,1,0,0,0,1,1,0
WMT,Walmart,128.75,0,0,0,0,0,0,1,0,0,0
LLY,Lilly (Eli),1014.43,0,0,1,0,1,1,1,1,1,0
JPM,JPMorgan Chase,311.14,1,0,0,0,0,1,1,0,0,0
XOM,ExxonMobil,155.28,1,1,1,1,1,1,1,1,1,1
V,Visa Inc.,329.54,0,0,0,1,0,0,0,0,1,1
JNJ,Johnson & Johnson,240.70,0,1,0,1,1,0,1,0,1,0
MA,Mastercard,539.52,1,1,0,1,1,0,0,1,0,1
MU,Micron Technology,411.25,1,1,1,1,0,0,1,0,1,0
ORCL,Oracle Corporation,157.08,1,1,1,0,0,0,1,1,1,1
COST,Costco,979.71,0,1,0,1,1,0,0,0,1,0
BAC,Bank of America,54.06,0,0,0,0,0,1,1,1,1,0
ABBV,AbbVie,220.17,1,1,1,0,1,0,1,1,0,1
HD,Home Depot (The),389.46,1,0,1,1,0,0,0,0,0,0
PG,Procter & Gamble,159.45,1,0,1,1,1,1,0,0,0,1
CVX,Chevron Corporation,185.66,0,0,0,1,0,0,0,1,0,0
CAT,Caterpillar Inc.,773.53,0,0,0,0,0,0,0,0,1,1
AMD,Advanced Micro Devices,213.00,1,0,0,1,0,0,1,0,0,0
CSCO,Cisco,85.82,0,1,0,0,0,1,0,0,0,0
KO,Coca-Cola Company (The),78.51,1,0,0,0,0,0,0,0,0,0
NFLX,Netflix,79.94,1,1,1,1,1,1,1,0,1,0
GE,GE Aerospace,314.37,1,1,1,0,1,1,0,1,1,1
PLTR,Palantir Technologies,135.59,1,1,1,1,1,1,1,1,1,1
LRCX,Lam Research,236.60,1,1,1,1,1,1,1,1,1,1
MRK,Merck & Co.,118.79,1,1,1,1,1,1,1,1,1,1
PM,Philip Morris International,185.99,0,0,0,0,0,1,0,0,0,0
GS,Goldman Sachs,949.29,0,1,0,0,1,0,0,0,0,1
MS,Morgan Stanley,176.86,1,1,1,1,0,0,1,0,0,1
WFC,Wells Fargo,89.07,1,1,1,1,1,1,1,1,1,1
AMAT,Applied Materials,342.19,0,1,1,1,1,1,1,0,1,1
RTX,RTX Corporation,197.56,0,1,0,0,1,1,0,0,1,1
IBM,IBM,273.86,1,1,1,1,1,1,1,0,1,1
UNH,UnitedHealth Group,278.79,0,0,0,0,0,1,0,0,0,0
AXP,American Express,355.18,0,0,1,1,1,1,1,0,1,0
INTC,Intel,47.85,0,1,1,1,1,1,1,1,1,1
TMUS,T-Mobile US,207.62,1,1,1,1,1,1,1,0,0,0
PEP,PepsiCo,168.71,1,1,1,0,0,1,0,0,1,0
MCD,McDonald's,323.50,0,0,0,1,1,0,1,0,0,1
GEV,GE Vernova,822.50,1,1,1,1,1,0,1,1,0,0
LIN,Linde plc,466.04,1,1,1,1,1,1,1,1,1,1
C,Citigroup,117.93,0,0,1,0,1,1,0,0,1,0
TXN,Texas Instruments,226.34,1,0,0,0,0,0,0,0,0,0
VZ,Verizon,48.55,0,1,0,0,1,0,0,1,0,0
T,AT&T,28.21,1,1,1,0,1,1,0,0,1,1
TMO,Thermo Fisher Scientific,525.00,0,1,0,0,0,1,0,0,1,0
AMGN,Amgen,364.77,1,1,0,0,1,0,0,0,0,0
ABT,Abbott Laboratories,112.97,0,1,0,0,1,1,0,0,1,1
KLAC,KLA Corporation,1492.27,1,1,0,1,1,1,0,1,1,1
GILD,Gilead Sciences,155.71,0,0,0,0,1,0,0,0,0,0
DIS,Walt Disney Company (The),108.30,1,1,0,0,0,0,0,1,0,0
NEE,NextEra Energy,91.19,0,0,1,0,1,0,1,1,0,0
BA,Boeing,236.98,1,1,1,1,1,1,1,0,1,1
ANET,Arista Networks,141.06,1,1,1,0,0,0,0,1,1,1
APH,Amphenol,144.60,1,1,1,1,1,0,1,0,1,1
ISRG,Intuitive Surgical,496.14,1,1,1,1,1,1,1,1,1,1
CRM,Salesforce,184.94,0,0,0,0,0,0,0,0,1,0
SCHW,Charles Schwab Corporation,95.50,1,1,0,0,0,0,0,0,0,0
BLK,BlackRock,1083.35,1,0,1,1,0,1,0,1,1,1
TJX,TJX Companies,150.56,1,1,1,0,1,1,1,1,1,1
DE,Deere & Company,610.03,1,1,1,1,1,1,1,0,1,1
ADI,Analog Devices,336.71,1,0,0,0,1,1,1,1,0,1
LOW,Lowe's,286.57,0,0,1,0,0,1,0,0,1,0
PFE,Pfizer,27.77,1,1,1,0,0,0,0,0,0,0
UNP,Union Pacific Corporation,261.95,1,1,0,0,1,0,1,0,0,1
DHR,Danaher Corporation,219.80,1,0,0,0,0,0,0,0,0,0
APP,AppLovin Corporation,459.27,1,0,1,0,1,1,1,1,1,1
HON,Honeywell,243.56,1,1,1,1,1,1,1,1,1,1
ETN,Eaton Corporation,394.94,0,0,0,1,0,0,1,1,0,0
QCOM,Qualcomm,141.90,0,0,1,0,0,0,0,0,0,0
UBER,Uber,70.72,0,0,0,1,1,0,0,0,0,0
LMT,Lockheed Martin,630.54,1,1,1,0,1,1,1,1,1,0
WELL,Welltower,208.65,1,1,1,1,1,1,1,1,1,1
ACN,Accenture,230.79,1,1,1,1,0,1,1,1,1,1
BKNG,Booking Holdings,4322.85,1,1,0,1,1,0,0,0,1,0
