# S&P 500 Companies by Market Cap
# Ticker,Name,Price
Ticker,Name,Price,Tag,Volatility
NVDA,Nvidia,191.27,Industrial,5
AAPL,Apple Inc.,276.43,Energy,3
MSFT,Microsoft,404.68,Health,5
AMZN,Amazon,204.62,Telecom,3
GOOGL,Alphabet Inc. (Class A),311.20,Finance,4
GOOG,Alphabet Inc. (Class C),311.62,Tech,6
META,Meta Platforms,669.41,Real Estate,4
AVGO,Broadcom,343.35,Energy,2
TSLA,Tesla Inc.,426.52,Tech,4
BRK.B,Berkshire Hathaway,501.05,Health,2
WMT,Walmart,128.75,Health,7
LLY,Lilly (Eli),1014.43,Consumer,1
JPM,JPMorgan Chase,311.14,Energy,1
XOM,ExxonMobil,155.28,Consumer,6
V,Visa Inc.,329.54,Energy,3
JNJ,Johnson & Johnson,240.70,Finance,2
MA,Mastercard,539.52,Energy,6
MU,Micron Technology,411.25,Telecom,5
ORCL,Oracle Corporation,157.08,Consumer,4
COST,Costco,979.71,Real Estate,3
BAC,Bank of America,54.06,Utilities,5
ABBV,AbbVie,220.17,Consumer,1
HD,Home Depot (The),389.46,Utilities,7
PG,Procter & Gamble,159.45,Tech,6
CVX,Chevron Corporation,185.66,Real Estate,7
CAT,Caterpillar Inc.,773.53,Real Estate,1
AMD,Advanced Micro Devices,213.00,Tech,5
CSCO,Cisco,85.82,Energy,3
KO,Coca-Cola Company (The),78.51,Materials,2
NFLX,Netflix,79.94,Energy,1
GE,GE Aerospace,314.37,Health,3
PLTR,Palantir Technologies,135.59,Finance,4
LRCX,Lam Research,236.60,Consumer,1
MRK,Merck & Co.,118.79,Finance,6
PM,Philip Morris International,185.99,Telecom,2
GS,Goldman Sachs,949.29,Finance,4
MS,Morgan Stanley,176.86,Utilities,4
WFC,Wells Fargo,89.07,Materials,6
AMAT,Applied Materials,342.19,Utilities,3
RTX,RTX Corporation,197.56,Industrial,5
IBM,IBM,273.86,Real Estate,2
UNH,UnitedHealth Group,278.79,Tech,3
AXP,American Express,355.18,Utilities,7
INTC,Intel,47.85,Tech,3
TMUS,T-Mobile US,207.62,Industrial,6
PEP,PepsiCo,168.71,Industrial,5
MCD,McDonald's,323.50,Utilities,4
GEV,GE Vernova,822.50,Tech,4
LIN,Linde plc,466.04,Materials,5
C,Citigroup,117.93,Tech,3
TXN,Texas Instruments,226.34,Utilities,3
VZ,Verizon,48.55,Real Estate,2
T,AT&T,28.21,Industrial,6
TMO,Thermo Fisher Scientific,525.00,Tech,3
AMGN,Amgen,364.77,Consumer,2
ABT,Abbott Laboratories,112.97,Real Estate,5
KLAC,KLA Corporation,1492.27,Tech,6
GILD,Gilead Sciences,155.71,Tech,1
DIS,Walt Disney Company (The),108.30,Materials,2
NEE,NextEra Energy,91.19,Energy,4
BA,Boeing,236.98,Utilities,4
ANET,Arista Networks,141.06,Utilities,2
APH,Amphenol,144.60,Health,2
ISRG,Intuitive Surgical,496.14,Tech,2
CRM,Salesforce,184.94,Industrial,5
SCHW,Charles Schwab Corporation,95.50,Energy,7
BLK,BlackRock,1083.35,Consumer,5
TJX,TJX Companies,150.56,Materials,7
DE,Deere & Company,610.03,Real Estate,2
ADI,Analog Devices,336.71,Materials,7
LOW,Lowe's,286.57,Industrial,6
PFE,Pfizer,27.77,Health,3
UNP,Union Pacific Corporation,261.95,Utilities,4
DHR,Danaher Corporation,219.80,Real Estate,2
APP,AppLovin Corporation,459.27,Consumer,4
HON,Honeywell,243.56,Finance,4
ETN,Eaton Corporation,394.94,Finance,3
QCOM,Qualcomm,141.90,Health,7
