# S&P 500 Companies by Market Cap
# Ticker,Name,Price
NVDA,Nvidia,191.27,Tag
AAPL,Apple Inc.,276.43,Industrial
MSFT,Microsoft,404.68,Utilities
AMZN,Amazon,204.62,Industrial
GOOGL,Alphabet Inc. (Class A),311.20,Energy
GOOG,Alphabet Inc. (Class C),311.62,Health
META,Meta Platforms,669.41,Energy
AVGO,Broadcom,343.35,Materials
TSLA,Tesla Inc.,426.52,Energy
BRK.B,Berkshire Hathaway,501.05,Tech
WMT,Walmart,128.75,Telecom
LLY,Lilly (Eli),1014.43,Energy
JPM,JPMorgan Chase,311.14,Tech
XOM,ExxonMobil,155.28,Health
V,Visa Inc.,329.54,Utilities
JNJ,Johnson & Johnson,240.70,Consumer
MA,Mastercard,539.52,Industrial
MU,Micron Technology,411.25,Industrial
ORCL,Oracle Corporation,157.08,Consumer
COST,Costco,979.71,Materials
BAC,Bank of America,54.06,Health
ABBV,AbbVie,220.17,Consumer
HD,Home Depot (The),389.46,Utilities
PG,Procter & Gamble,159.45,Tech
CVX,Chevron Corporation,185.66,Real Estate
CAT,Caterpillar Inc.,773.53,Materials
AMD,Advanced Micro Devices,213.00,Energy
CSCO,Cisco,85.82,Health
KO,Coca-Cola Company (The),78.51,Real Estate
NFLX,Netflix,79.94,Health
GE,GE Aerospace,314.37,Energy
PLTR,Palantir Technologies,135.59,Tech
LRCX,Lam Research,236.60,Tech
MRK,Merck & Co.,118.79,Real Estate
PM,Philip Morris International,185.99,Materials
GS,Goldman Sachs,949.29,Utilities
MS,Morgan Stanley,176.86,Finance
WFC,Wells Fargo,89.07,Consumer
AMAT,Applied Materials,342.19,Health
RTX,RTX Corporation,197.56,Real Estate
IBM,IBM,273.86,Materials
UNH,UnitedHealth Group,278.79,Telecom
AXP,American Express,355.18,Health
INTC,Intel,47.85,Health
TMUS,T-Mobile US,207.62,Materials
PEP,PepsiCo,168.71,Tech
MCD,McDonald's,323.50,Finance
GEV,GE Vernova,822.50,Telecom
LIN,Linde plc,466.04,Tech
C,Citigroup,117.93,Tech
TXN,Texas Instruments,226.34,Industrial
VZ,Verizon,48.55,Health
T,AT&T,28.21,Real Estate
TMO,Thermo Fisher Scientific,525.00,Utilities
AMGN,Amgen,364.77,Real Estate
ABT,Abbott Laboratories,112.97,Consumer
KLAC,KLA Corporation,1492.27,Health
GILD,Gilead Sciences,155.71,Real Estate
DIS,Walt Disney Company (The),108.30,Health
NEE,NextEra Energy,91.19,Tech
BA,Boeing,236.98,Finance
ANET,Arista Networks,141.06,Tech
APH,Amphenol,144.60,Real Estate
ISRG,Intuitive Surgical,496.14,Real Estate
CRM,Salesforce,184.94,Utilities
SCHW,Charles Schwab Corporation,95.50,Utilities
BLK,BlackRock,1083.35,Finance
TJX,TJX Companies,150.56,Consumer
DE,Deere & Company,610.03,Real Estate
ADI,Analog Devices,336.71,Energy
LOW,Lowe's,286.57,Tech
PFE,Pfizer,27.77,Finance
UNP,Union Pacific Corporation,261.95,Energy
DHR,Danaher Corporation,219.80,Consumer
APP,AppLovin Corporation,459.27,Real Estate
HON,Honeywell,243.56,Finance
ETN,Eaton Corporation,394.94,Industrial
QCOM,Qualcomm,141.90,Consumer
UBER,Uber,70.72,Finance
LMT,Lockheed Martin,630.54,Utilities
WELL,Welltower,208.65,Energy
ACN,Accenture,230.79,Materials
BKNG,Booking Holdings,4322.85,Industrial
SYK,Stryker Corporation,362.53,Utilities
COP,ConocoPhillips,110.75,Real Estate
NEM,Newmont,123.89,Health
COF,Capital One,214.93,Telecom
PLD,Prologis,140.35,Energy
MDT,Medtronic,100.87,Finance
CB,Chubb Limited,328.82,Finance
PH,Parker Hannifin,998.24,Materials
PGR,Progressive Corporation,209.33,Utilities
BMY,Bristol Myers Squibb,60.18,Finance
HCA,HCA Healthcare,531.83,Industrial
SPGI,S&P Global,396.65,Health
CMCSA,Comcast,32.53,Energy
VRTX,Vertex Pharmaceuticals,459.93,Tech
MCK,McKesson Corporation,944.20,Health
PANW,Palo Alto Networks,165.49,Energy
GLW,Corning Inc.,134.16,Telecom
SBUX,Starbucks,99.03,Industrial
INTU,Intuit,401.05,Consumer
MO,Altria,65.72,Consumer
BSX,Boston Scientific,73.76,Tech
CME,CME Group,303.44,Telecom
NOW,ServiceNow,101.55,Tech
ADBE,Adobe Inc.,258.39,Health
TT,Trane Technologies,473.75,Finance
CRWD,CrowdStrike,414.94,Industrial
BX,Blackstone Inc.,133.29,Tech
UPS,United Parcel Service,119.93,Health
SO,Southern Company,90.86,Materials
CEG,Constellation Energy,274.37,Energy
DUK,Duke Energy,124.86,Energy
CVS,CVS Health,76.36,Telecom
MAR,Marriott International,360.71,Tech
NOC,Northrop Grumman,680.45,Telecom
PNC,PNC Financial Services,237.28,Consumer
WM,Waste Management,234.67,Consumer
GD,General Dynamics,348.79,Tech
WDC,Western Digital,277.26,Industrial
KKR,KKR,105.28,Materials
HWM,Howmet Aerospace,233.13,Energy
FCX,Freeport-McMoRan,65.30,Consumer
NKE,Nike Inc.,62.43,Real Estate
USB,U.S. Bancorp,59.25,Telecom
MMM,3M,173.46,Energy
SHW,Sherwin-Williams,364.16,Telecom
RCL,Royal Caribbean Group,331.76,Telecom
SNDK,Sandisk Corporation,607.86,Finance
STX,Seagate Technology,409.41,Energy
EMR,Emerson Electric,156.30,Real Estate
ADP,Automatic Data Processing,217.59,Real Estate
WMB,Williams Companies,71.48,Utilities
ICE,Intercontinental Exchange,153.60,Industrial
FDX,FedEx,368.49,Energy
ITW,Illinois Tool Works,298.50,Utilities
JCI,Johnson Controls,140.75,Tech
CRH,CRH plc,127.89,Finance
ECL,Ecolab,301.35,Tech
EQIX,Equinix,863.66,Real Estate
BK,BNY Mellon,122.83,Materials
MRSH,Marsh & McLennan Companies Inc.,174.09,Industrial
AMT,American Tower,179.46,Utilities
CMI,Cummins,601.45,Tech
SNPS,Synopsys,433.56,Finance
REGN,Regeneron Pharmaceuticals,780.09,Energy
DELL,Dell Technologies,124.37,Health
CDNS,Cadence Design Systems,298.74,Energy
CTAS,Cintas,201.10,Real Estate
ORLY,O'Reilly Auto Parts,93.87,Finance
MNST,Monster Beverage,80.88,Industrial
MDLZ,Mondelez International,61.45,Energy
PWR,Quanta Services,523.69,Materials
CI,Cigna,292.46,Materials
CSX,CSX Corporation,41.30,Telecom
CL,Colgate-Palmolive,95.04,Consumer
SLB,Schlumberger,51.14,Industrial
HLT,Hilton Worldwide,327.38,Finance
DASH,DoorDash,175.41,Real Estate
TDG,TransDigm Group,1325.26,Industrial
MCO,Moody's Corporation,415.20,Tech
APO,Apollo Global Management,127.53,Finance
ELV,Elevance Health,329.59,Materials
ABNB,Airbnb,119.56,Finance
GM,General Motors,79.78,Industrial
NSC,Norfolk Southern Railway,316.73,Real Estate
COR,Cencora,365.43,Real Estate
MSI,Motorola Solutions,423.10,Health
KMI,Kinder Morgan,31.64,Consumer
RSG,Republic Services,226.72,Telecom
HOOD,Robinhood Markets Inc.,77.55,Finance
WBD,Warner Bros. Discovery,28.01,Health
TFC,Truist Financial,54.42,Energy
PCAR,Paccar,129.93,Health
AON,Aon,314.02,Health
TEL,TE Connectivity,227.16,Health
APD,Air Products,293.38,Real Estate
AEP,American Electric Power,122.18,Telecom
FTNT,Fortinet,87.72,Finance
TRV,Travelers Companies (The),299.75,Real Estate
PSX,Phillips 66,161.13,Energy
LHX,L3Harris,341.14,Finance
EOG,EOG Resources,117.39,Consumer
SPG,Simon Property Group,195.66,Tech
NXPI,NXP Semiconductors,249.26,Finance
ROST,Ross Stores,192.31,Telecom
VLO,Valero Energy,203.89,Finance
AZO,AutoZone,3733.09,Energy
MPC,Marathon Petroleum,207.85,Industrial
BKR,Baker Hughes,61.16,Telecom
AFL,Aflac,116.20,Telecom
DLR,Digital Realty,174.16,Consumer
SRE,Sempra,90.83,Finance
O,Realty Income,64.39,Energy
MPWR,Monolithic Power Systems,1197.55,Industrial
GWW,W. W. Grainger,1202.13,Materials
ZTS,Zoetis,128.19,Utilities
CARR,Carrier Global,66.80,Real Estate
D,Dominion Energy,64.61,Finance
F,Ford Motor Company,13.78,Consumer
URI,United Rentals,870.17,Finance
AME,Ametek,236.33,Finance
VST,Vistra Corp.,160.43,Materials
FAST,Fastenal,47.14,Health
ALL,Allstate,205.91,Consumer
OKE,ONEOK,85.03,Telecom
AJG,Arthur J. Gallagher & Co.,207.61,Energy
CAH,Cardinal Health,225.15,Energy
CVNA,Carvana Co.,365.94,Materials
IDXX,Idexx Laboratories,647.63,Health
MET,MetLife,78.87,Industrial
TGT,Target Corporation,114.12,Consumer
PSA,Public Storage,293.33,Energy
BDX,Becton Dickinson,179.62,Tech
CTVA,Corteva,75.48,Health
TER,Teradyne,323.92,Real Estate
EA,Electronic Arts,201.72,Materials
ADSK,Autodesk,232.93,Consumer
FITB,Fifth Third Bancorp,54.59,Real Estate
CMG,Chipotle Mexican Grill,37.35,Telecom
FANG,Diamondback Energy,168.93,Real Estate
TRGP,Targa Resources,222.03,Utilities
FIX,Comfort Systems USA Inc.,1345.62,Utilities
DHI,D. R. Horton,163.35,Materials
HSY,Hershey Company (The),231.46,Materials
OXY,Occidental Petroleum,47.34,Utilities
DAL,Delta Air Lines,71.16,Industrial
ROK,Rockwell Automation,413.43,Utilities
NDAQ,Nasdaq Inc.,81.05,Energy
XEL,Xcel Energy,77.79,Materials
EW,Edwards Lifesciences,78.67,Health
CCL,Carnival,32.80,Real Estate
CBRE,CBRE Group,151.76,Telecom
ETR,Entergy,100.79,Materials
EXC,Exelon,44.57,Tech
AMP,Ameriprise Financial,489.27,Consumer
NUE,Nucor,194.78,Real Estate
DDOG,Datadog,126.70,Tech
YUM,Yum! Brands,160.35,Real Estate
MCHP,Microchip Technology,80.90,Finance
WAB,Wabtec,255.15,Materials
KR,Kroger,68.68,Consumer
AIG,American International Group,79.36,Industrial
VMC,Vulcan Materials Company,321.01,Real Estate
CIEN,Ciena Corporation,301.11,Consumer
SYY,Sysco,88.04,Energy
PEG,Public Service Enterprise Group,83.85,Telecom
COIN,Coinbase Global,152.61,Consumer
ODFL,Old Dominion,195.74,Telecom
KEYS,Keysight Technologies,237.88,Consumer
KDP,Keurig Dr Pepper,29.84,Industrial
VTR,Ventas,85.29,Real Estate
MLM,Martin Marietta Materials,663.38,Health
GRMN,Garmin,206.52,Materials
ED,Consolidated Edison,109.36,Industrial
HIG,Hartford (The),142.02,Industrial
LVS,Las Vegas Sands,57.75,Consumer
CPRT,Copart,39.73,Materials
EL,Estée Lauder Companies (The),106.09,Consumer
IR,Ingersoll Rand,96.98,Utilities
WDAY,Workday Inc.,145.19,Utilities
MSCI,MSCI,519.16,Energy
TTWO,Take-Two Interactive,204.25,Telecom
RMD,ResMed,259.29,Telecom
EBAY,eBay,82.95,Utilities
PCG,PG&E Corporation,17.02,Utilities
CCI,Crown Castle,85.66,Tech
PYPL,PayPal,40.26,Industrial
PRU,Prudential Financial,105.34,Tech
WEC,WEC Energy Group,113.19,Real Estate
UAL,United Airlines Holdings,113.50,Telecom
STT,State Street Corporation,131.37,Tech
HBAN,Huntington Bancshares,18.02,Real Estate
A,Agilent Technologies,128.22,Telecom
GEHC,GE HealthCare,79.29,Finance
MTB,M&T Bank,235.06,Tech
EME,EMCOR Group Inc.,803.53,Materials
ACGL,Arch Capital Group,98.49,Telecom
KMB,Kimberly-Clark,107.35,Utilities
ROP,Roper Technologies,333.96,Materials
EQT,EQT Corporation,56.73,Finance
KVUE,Kenvue,18.44,Energy
LYV,Live Nation Entertainment,150.60,Finance
OTIS,Otis Worldwide,89.85,Real Estate
AXON,Axon Enterprise,436.36,Telecom
NRG,NRG Energy,160.11,Telecom
CTSH,Cognizant,71.22,Tech
IBKR,Interactive Brokers Group,76.54,Tech
PAYX,Paychex,94.49,Health
FISV,Fiserv Inc.,62.72,Real Estate
ADM,Archer Daniels Midland,69.24,Telecom
XYZ,Block Inc.,53.87,Energy
FICO,Fair Isaac,1369.86,Telecom
DG,Dollar General,147.49,Materials
DOV,Dover Corporation,232.52,Real Estate
ROL,Rollins Inc.,65.74,Industrial
HPE,Hewlett Packard Enterprise,23.62,Industrial
RJF,Raymond James Financial,159.60,Materials
TPR,Tapestry Inc.,154.43,Materials
VICI,Vici Properties,29.18,Utilities
TDY,Teledyne Technologies,657.92,Tech
XYL,Xylem Inc.,126.71,Telecom
CHTR,Charter Communications,241.08,Energy
ARES,Ares Management Corporation,137.90,Energy
ULTA,Ulta Beauty,684.25,Real Estate
STLD,Steel Dynamics,206.43,Real Estate
EXR,Extra Space Storage,142.02,Utilities
LEN,Lennar,120.76,Real Estate
IQV,IQVIA,175.80,Finance
IRM,Iron Mountain,99.67,Health
KHC,Kraft Heinz,24.88,Finance
PPG,PPG Industries,130.53,Finance
HAL,Halliburton,34.84,Materials
ATO,Atmos Energy,175.22,Finance
DTE,DTE Energy,139.17,Energy
TSCO,Tractor Supply,54.53,Health
EXPE,Expedia Group,235.08,Industrial
CFG,Citizens Financial Group,66.87,Materials
AEE,Ameren,106.08,Real Estate
TPL,Texas Pacific Land Corporation,416.14,Real Estate
CBOE,Cboe Global Markets,271.99,Tech
ON,ON Semiconductor,70.68,Industrial
MTD,Mettler Toledo,1391.33,Materials
STZ,Constellation Brands,163.02,Materials
BIIB,Biogen,191.29,Health
DVN,Devon Energy,44.78,Tech
FE,FirstEnergy,47.94,Telecom
JBL,Jabil,260.92,Industrial
NTRS,Northern Trust,147.45,Materials
HUBB,Hubbell Incorporated,513.63,Real Estate
WTW,Willis Towers Watson,282.86,Utilities
WRB,W. R. Berkley Corporation,71.20,Consumer
RF,Regions Financial Corporation,30.86,Consumer
PHM,PulteGroup,139.04,Tech
CNP,CenterPoint Energy,40.91,Consumer
PPL,PPL Corporation,35.97,Tech
DXCM,Dexcom,68.19,Energy
SW,Smurfit WestRock,50.23,Telecom
ES,Eversource Energy,69.77,Health
GIS,General Mills,48.40,Utilities
EIX,Edison International,66.94,Materials
IP,International Paper,48.64,Finance
WSM,Williams-Sonoma,214.52,Finance
CINF,Cincinnati Financial,164.11,Energy
LUV,Southwest Airlines,51.66,Health
AVB,AvalonBay Communities,179.80,Telecom
SYF,Synchrony Financial,72.95,Consumer
FIS,Fidelity National Information Services,48.73,Tech
KEY,KeyCorp,22.67,Tech
DLTR,Dollar Tree,125.35,Consumer
EQR,Equity Residential,65.09,Real Estate
EXE,Expand Energy,103.09,Utilities
DRI,Darden Restaurants,212.58,Materials
FSLR,First Solar,227.60,Energy
DOW,Dow Inc.,33.98,Industrial
CPAY,Corpay,346.25,Tech
AWK,American Water Works,123.54,Energy
CHD,Church & Dwight,100.17,Telecom
LH,LabCorp,289.08,Utilities
VRSK,Verisk Analytics,171.87,Telecom
Q,Qnity Electronics,114.06,Health
CTRA,Coterra,31.48,Finance
STE,Steris,243.09,Health
EFX,Equifax,197.29,Consumer
VLTO,Veralto,95.33,Consumer
BG,Bunge Global,121.39,Utilities
DGX,Quest Diagnostics,209.53,Finance
CHRW,C.H. Robinson,196.77,Finance
AMCR,Amcor,49.62,Utilities
TSN,Tyson Foods,64.52,Telecom
L,Loews Corporation,110.15,Health
CMS,CMS Energy,74.16,Tech
BRO,Brown & Brown,67.07,Consumer
LDOS,Leidos,174.83,Finance
PKG,Packaging Corporation of America,244.06,Tech
JBHT,J.B. Hunt,231.62,Tech
OMC,Omnicom Group,69.53,Tech
EXPD,Expeditors International,163.06,Telecom
RL,Ralph Lauren Corporation,359.55,Telecom
NVR,NVR Inc.,8082.38,Industrial
DD,DuPont,51.29,Utilities
HUM,Humana,176.34,Health
NI,NiSource,44.78,Health
NTAP,NetApp,105.69,Industrial
GPC,Genuine Parts Company,149.43,Telecom
LULU,Lululemon Athletica,176.88,Tech
ALB,Albemarle Corporation,176.03,Real Estate
TROW,T. Rowe Price,94.24,Finance
PFG,Principal Financial Group,92.86,Energy
CSGP,CoStar Group,48.09,Consumer
GPN,Global Payments,72.67,Utilities
SBAC,SBA Communications,190.43,Tech
SNA,Snap-on,383.21,Finance
CNC,Centene Corporation,40.26,Materials
VRSN,Verisign,215.66,Health
WAT,Waters Corporation,331.52,Health
IFF,International Flavors & Fragrances,76.65,Energy
BR,Broadridge Financial Solutions,167.88,Materials
WY,Weyerhaeuser,27.09,Telecom
INCY,Incyte,99.35,Tech
LII,Lennox International,553.57,Health
LYB,LyondellBasell,59.29,Industrial
SMCI,Supermicro,31.69,Energy
MKC,McCormick & Company,70.30,Consumer
ZBH,Zimmer Biomet,95.21,Real Estate
PTC,PTC Inc.,155.52,Telecom
FTV,Fortive,58.93,Real Estate
VTRS,Viatris,16.02,Materials
EVRG,Evergy,78.94,Materials
BALL,Ball Corporation,67.29,Energy
HPQ,HP Inc.,19.63,Health
WST,West Pharmaceutical Services,247.87,Energy
PODD,Insulet Corporation,253.09,Real Estate
APTV,Aptiv,83.64,Finance
CDW,CDW,135.32,Tech
LNT,Alliant Energy,68.17,Health
TXT,Textron,96.68,Energy
ESS,Essex Property Trust,262.76,Telecom
HOLX,Hologic,75.11,Utilities
J,Jacobs Solutions,142.70,Utilities
INVH,Invitation Homes,27.16,Telecom
TKO,TKO Group Holdings,210.88,Consumer
NDSN,Nordson Corporation,295.64,Consumer
DECK,Deckers Brands,115.15,Tech
PNR,Pentair,99.79,Energy
COO,Cooper Companies (The),82.84,Utilities
MAA,Mid-America Apartment Communities,136.74,Health
FFIV,F5 Inc.,282.22,Industrial
MAS,Masco,76.24,Tech
IEX,IDEX Corporation,211.28,Industrial
MRNA,Moderna,40.21,Utilities
TRMB,Trimble Inc.,65.06,Finance
ALLE,Allegion,179.40,Telecom
HII,Huntington Ingalls Industries,392.15,Health
CLX,Clorox,125.65,Energy
CF,CF Industries,97.23,Utilities
GEN,Gen Digital,24.64,Utilities
AVY,Avery Dennison,192.77,Industrial
KIM,Kimco Realty,21.96,Telecom
HAS,Hasbro,105.26,Tech
ERIE,Erie Indemnity,279.84,Real Estate
TYL,Tyler Technologies,339.51,Telecom
UHS,Universal Health Services,231.22,Industrial
BEN,Franklin Resources,27.64,Consumer
ALGN,Align Technology,197.24,Finance
SOLV,Solventum,81.25,Real Estate
BBY,Best Buy,66.84,Tech
REG,Regency Centers,76.49,Consumer
SWK,Stanley Black & Decker,90.31,Industrial
BF.B,Brown–Forman,30.11,Utilities
BLDR,Builders FirstSource,125.44,Industrial
HST,Host Hotels & Resorts,19.98,Health
AKAM,Akamai Technologies,95.00,Finance
EG,Everest Group,331.67,Industrial
UDR,UDR Inc.,39.84,Tech
TTD,The Trade Desk Inc.,27.19,Utilities
HRL,Hormel Foods,23.79,Industrial
DPZ,Domino's,385.50,Industrial
ZBRA,Zebra Technologies,250.71,Tech
GNRC,Generac,214.94,Utilities
FOX,Fox Corporation (Class B),56.02,Industrial
FOXA,Fox Corporation (Class A),61.76,Industrial
GDDY,GoDaddy,91.44,Consumer
PSKY,Paramount Skydance Corp,10.96,Industrial
WYNN,Wynn Resorts,115.18,Consumer
JKHY,Jack Henry & Associates,165.63,Tech
CPT,Camden Property Trust,111.66,Tech
DOC,Healthpeak Properties,16.95,Utilities
SJM,J.M. Smucker Company (The),109.98,Health
IVZ,Invesco,26.42,Utilities
AES,AES Corporation,16.45,Finance
IT,Gartner,160.21,Tech
GL,Globe Life,144.35,Health
BAX,Baxter International,22.30,Materials
PNW,Pinnacle West,95.57,Industrial
RVTY,Revvity,100.89,Real Estate
AOS,A. O. Smith,80.03,Health
AIZ,Assurant,216.77,Finance
TAP,Molson Coors Beverage Company,52.98,Consumer
NCLH,Norwegian Cruise Line Holdings,22.76,Industrial
POOL,Pool Corporation,270.70,Industrial
EPAM,EPAM Systems,180.79,Industrial
APA,APA Corporation,28.11,Tech
TECH,Bio-Techne,63.46,Utilities
MOS,Mosaic Company (The),31.21,Telecom
BXP,BXP Inc.,61.61,Telecom
DVA,DaVita,144.55,Industrial
SWKS,Skyworks Solutions,63.62,Telecom
HSIC,Henry Schein,81.21,Utilities
CAG,Conagra Brands,19.95,Tech
MGM,MGM Resorts,36.39,Health
ARE,Alexandria Real Estate Equities,53.92,Consumer
FRT,Federal Realty Investment Trust,107.14,Utilities
CPB,Campbell Soup Company,29.16,Finance
NWSA,News Corp (Class A),23.30,Consumer
CRL,Charles River Laboratories,164.83,Tech
MTCH,Match Group,31.27,Tech
FDS,FactSet,193.29,Finance
LW,Lamb Weston,50.33,Utilities
PAYC,Paycom,117.68,Tech
MOH,Molina Healthcare,122.46,Industrial
NWS,News Corp (Class B),26.91,Telecom
