#S&P 500 companies by market cap
#Ticker, Name, Price, Sector, Volatility score

NVDA,Nvidia,191.27,Technology,7
AAPL,Apple Inc.,276.43,Technology,4
MSFT,Microsoft,404.68,Technology,3
AMZN,Amazon,204.62,Consumer Discretionary,5
GOOGL,Alphabet Inc. (Class A),311.20,Communication Services,4
GOOG,Alphabet Inc. (Class C),311.62,Communication Services,4
META,Meta Platforms,669.41,Communication Services,6
AVGO,Broadcom,343.35,Technology,5
TSLA,Tesla Inc.,426.52,Consumer Discretionary,7
BRK.B,Berkshire Hathaway,501.05,Financials,2
WMT,Walmart,128.75,Consumer Staples,2
LLY,Lilly (Eli),1014.43,Health Care,4
JPM,JPMorgan Chase,311.14,Financials,3
XOM,ExxonMobil,155.28,Energy,5
V,Visa Inc.,329.54,Financials,3
JNJ,Johnson & Johnson,240.70,Health Care,2
MA,Mastercard,539.52,Financials,3
MU,Micron Technology,411.25,Technology,7
ORCL,Oracle Corporation,157.08,Technology,4
COST,Costco,979.71,Consumer Staples,2
BAC,Bank of America,54.06,Financials,4
ABBV,AbbVie,220.17,Health Care,3
HD,Home Depot (The),389.46,Consumer Discretionary,4
PG,Procter & Gamble,159.45,Consumer Staples,1
CVX,Chevron Corporation,185.66,Energy,5
CAT,Caterpillar Inc.,773.53,Industrials,5
AMD,Advanced Micro Devices,213.00,Technology,7
CSCO,Cisco,85.82,Technology,3
KO,Coca-Cola Company (The),78.51,Consumer Staples,1
NFLX,Netflix,79.94,Communication Services,6
GE,GE Aerospace,314.37,Industrials,5
PLTR,Palantir Technologies,135.59,Technology,7
LRCX,Lam Research,236.60,Technology,6
MRK,Merck & Co.,118.79,Health Care,3
PM,Philip Morris International,185.99,Consumer Staples,2
GS,Goldman Sachs,949.29,Financials,5
MS,Morgan Stanley,176.86,Financials,4
WFC,Wells Fargo,89.07,Financials,4
AMAT,Applied Materials,342.19,Technology,6
RTX,RTX Corporation,197.56,Industrials,4
IBM,IBM,273.86,Technology,3
UNH,UnitedHealth Group,278.79,Health Care,3
AXP,American Express,355.18,Financials,4
INTC,Intel,47.85,Technology,5
TMUS,T-Mobile US,207.62,Communication Services,3
PEP,PepsiCo,168.71,Consumer Staples,2
MCD,McDonald's,323.50,Consumer Discretionary,3
GEV,GE Vernova,822.50,Energy,6
LIN,Linde plc,466.04,Materials,3
C,Citigroup,117.93,Financials,5
TXN,Texas Instruments,226.34,Technology,3
VZ,Verizon,48.55,Communication Services,2
T,AT&T,28.21,Communication Services,2
TMO,Thermo Fisher Scientific,525.00,Health Care,3
AMGN,Amgen,364.77,Health Care,3
ABT,Abbott Laboratories,112.97,Health Care,3
KLAC,KLA Corporation,1492.27,Technology,6
GILD,Gilead Sciences,155.71,Health Care,4
DIS,Walt Disney Company (The),108.30,Communication Services,5
NEE,NextEra Energy,91.19,Utilities,2
BA,Boeing,236.98,Industrials,6
ANET,Arista Networks,141.06,Technology,6
APH,Amphenol,144.60,Technology,4
ISRG,Intuitive Surgical,496.14,Health Care,5
CRM,Salesforce,184.94,Technology,5
SCHW,Charles Schwab Corporation,95.50,Financials,5
BLK,BlackRock,1083.35,Financials,3
TJX,TJX Companies,150.56,Consumer Discretionary,3
DE,Deere & Company,610.03,Industrials,4
ADI,Analog Devices,336.71,Technology,4
LOW,Lowe's,286.57,Consumer Discretionary,4
PFE,Pfizer,27.77,Health Care,3
UNP,Union Pacific Corporation,261.95,Industrials,3
DHR,Danaher Corporation,219.80,Health Care,3
APP,AppLovin Corporation,459.27,Technology,7
HON,Honeywell,243.56,Industrials,3
ETN,Eaton Corporation,394.94,Industrials,4
QCOM,Qualcomm,141.90,Technology,5
UBER,Uber,70.72,Technology,6
LMT,Lockheed Martin,630.54,Industrials,3
WELL,Welltower,208.65,Real Estate,3
ACN,Accenture,230.79,Technology,3
BKNG,Booking Holdings,4322.85,Consumer Discretionary,4
SYK,Stryker Corporation,362.53,Health Care,3
COP,ConocoPhillips,110.75,Energy,5
NEM,Newmont,123.89,Materials,5
COF,Capital One,214.93,Financials,5
PLD,Prologis,140.35,Real Estate,3
MDT,Medtronic,100.87,Health Care,3
CB,Chubb Limited,328.82,Financials,3
PH,Parker Hannifin,998.24,Industrials,4
PGR,Progressive Corporation,209.33,Financials,3
BMY,Bristol Myers Squibb,60.18,Health Care,3
HCA,HCA Healthcare,531.83,Health Care,4
SPGI,S&P Global,396.65,Financials,3
CMCSA,Comcast,32.53,Communication Services,3
VRTX,Vertex Pharmaceuticals,459.93,Health Care,6
MCK,McKesson Corporation,944.20,Health Care,3
PANW,Palo Alto Networks,165.49,Technology,6
GLW,Corning Inc.,134.16,Technology,4
SBUX,Starbucks,99.03,Consumer Discretionary,4
INTU,Intuit,401.05,Technology,4
MO,Altria,65.72,Consumer Staples,2
BSX,Boston Scientific,73.76,Health Care,4
CME,CME Group,303.44,Financials,3
NOW,ServiceNow,101.55,Technology,6
ADBE,Adobe Inc.,258.39,Technology,5
TT,Trane Technologies,473.75,Industrials,4
CRWD,CrowdStrike,414.94,Technology,7
BX,Blackstone Inc.,133.29,Financials,5
UPS,United Parcel Service,119.93,Industrials,3
SO,Southern Company,90.86,Utilities,2
CEG,Constellation Energy,274.37,Energy,6
DUK,Duke Energy,124.86,Utilities,2
CVS,CVS Health,76.36,Health Care,3
MAR,Marriott International,360.71,Consumer Discretionary,4
NOC,Northrop Grumman,680.45,Industrials,3
PNC,PNC Financial Services,237.28,Financials,4
WM,Waste Management,234.67,Industrials,3
GD,General Dynamics,348.79,Industrials,3
WDC,Western Digital,277.26,Technology,6
KKR,KKR,105.28,Financials,5
HWM,Howmet Aerospace,233.13,Industrials,5
FCX,Freeport-McMoRan,65.30,Materials,6
NKE,Nike Inc.,62.43,Consumer Discretionary,5
USB,U.S. Bancorp,59.25,Financials,3
MMM,3M,173.46,Industrials,4
SHW,Sherwin-Williams,364.16,Materials,4
RCL,Royal Caribbean Group,331.76,Consumer Discretionary,6
SNDK,Sandisk Corporation,607.86,Technology,6
STX,Seagate Technology,409.41,Technology,6
EMR,Emerson Electric,156.30,Industrials,3
ADP,Automatic Data Processing,217.59,Technology,3
WMB,Williams Companies,71.48,Energy,4
ICE,Intercontinental Exchange,153.60,Financials,3
FDX,FedEx,368.49,Industrials,4
ITW,Illinois Tool Works,298.50,Industrials,3
JCI,Johnson Controls,140.75,Industrials,4
CRH,CRH plc,127.89,Materials,4
ECL,Ecolab,301.35,Materials,3
EQIX,Equinix,863.66,Real Estate,3
BK,BNY Mellon,122.83,Financials,3
MRSH,Marsh & McLennan Companies Inc.,174.09,Financials,3
AMT,American Tower,179.46,Real Estate,4
CMI,Cummins,601.45,Industrials,4
SNPS,Synopsys,433.56,Technology,5
REGN,Regeneron Pharmaceuticals,780.09,Health Care,5
DELL,Dell Technologies,124.37,Technology,5
CDNS,Cadence Design Systems,298.74,Technology,5
CTAS,Cintas,201.10,Industrials,3
ORLY,O'Reilly Auto Parts,93.87,Consumer Discretionary,3
MNST,Monster Beverage,80.88,Consumer Staples,3
MDLZ,Mondelez International,61.45,Consumer Staples,2
PWR,Quanta Services,523.69,Industrials,5
CI,Cigna,292.46,Health Care,4
CSX,CSX Corporation,41.30,Industrials,3
CL,Colgate-Palmolive,95.04,Consumer Staples,1
SLB,Schlumberger,51.14,Energy,5
HLT,Hilton Worldwide,327.38,Consumer Discretionary,4
DASH,DoorDash,175.41,Technology,7
TDG,TransDigm Group,1325.26,Industrials,5
MCO,Moody's Corporation,415.20,Financials,3
APO,Apollo Global Management,127.53,Financials,5
ELV,Elevance Health,329.59,Health Care,3
ABNB,Airbnb,119.56,Consumer Discretionary,6
GM,General Motors,79.78,Consumer Discretionary,5
NSC,Norfolk Southern Railway,316.73,Industrials,4
COR,Cencora,365.43,Health Care,3
MSI,Motorola Solutions,423.10,Technology,4
KMI,Kinder Morgan,31.64,Energy,3
RSG,Republic Services,226.72,Industrials,3
HOOD,Robinhood Markets Inc.,77.55,Financials,7
WBD,Warner Bros. Discovery,28.01,Communication Services,6
TFC,Truist Financial,54.42,Financials,4
PCAR,Paccar,129.93,Industrials,4
AON,Aon,314.02,Financials,3
TEL,TE Connectivity,227.16,Technology,4
APD,Air Products,293.38,Materials,3
AEP,American Electric Power,122.18,Utilities,2
FTNT,Fortinet,87.72,Technology,6
TRV,Travelers Companies (The),299.75,Financials,3
PSX,Phillips 66,161.13,Energy,5
LHX,L3Harris,341.14,Industrials,4
EOG,EOG Resources,117.39,Energy,5
SPG,Simon Property Group,195.66,Real Estate,4
NXPI,NXP Semiconductors,249.26,Technology,6
ROST,Ross Stores,192.31,Consumer Discretionary,3
